TutorialEventId,ContentsName,TutorialType,Description,ControllerInput,EventPosX,EventPosY,EventPosZ
0,カメラ操作,Camera,右スティックでカメラの向きを変えられます。\n右スティックを傾けてカメラを動かしてみましょう。,RS,,,
1,移動,Move,左スティックでキャラクターを移動できます。\n左スティックを傾けて実際に移動してみましょう。,LS,,,
2,敵出現ロジック,Explain,開けたエリアに出ると敵が出現します。,None,,,
100,-1,EnemySpawnInfo,\n,None,0,0,30
101,攻撃,Attack,Yボタンでパンチ、Bボタンでキックが出せます。\n実際に攻撃を出してみましょう。,Y+B,,,
102,コンボ,Combo,連続で攻撃を当てるとコンボになります。\nコンボを成立させてみましょう。\n少しずれていてもホーミングします。,Y+B,,,
103,-1,Combo,敵を全て倒すと道が開かれます。\n先へ進んでみましょう。,None,,,
200,-1,EnemySpawnInfo,\n,None,80,0,20
201,回避,Evade,RBボタンで回避行動が行えます。\n回避してみましょう。,RB,,,
202,ジャスト回避,JustEvade,敵の攻撃を大きく掠るように回避すると「ジャスト回避」が発生します。\nタイミングよく回避してみましょう。,RB,,,
203,敵の行動について,Combo,敵はプレイヤーとの距離によって異なる行動パターンを取ります。\nコンボを決めて倒しましょう。,None,,,
204,-1,Move,以上でチュートリアルは完了です。,None,,,
