Name,GroupName,IsCollision,IsTrigger,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ,HitPoint,AttackPower,MoveSpeed,SearchDistance,ModelRotSpeed,EventType,ThisEventId,CallEventId
Ground,None,1,0,50,0,65,0,0,0,7500,7500,7500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-5,0,0,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-5,0,10,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-15,0,20,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,25,0,20,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-15,0,30,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-15,0,40,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,0,0,-5,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-10,0,45,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,-10,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,10,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,20,0,25,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,30,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,40,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,50,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,60,0,15,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,0,0,45,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,20,0,35,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,30,0,35,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,40,0,35,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,50,0,25,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,60,0,25,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,10,0,45,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,5,0,0,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,5,0,10,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,15,0,40,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,15,0,20,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,45,0,30,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
PlayerSpawn,None,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,1,1,1,None,-1,-1
EventWall,None,1,1,0,0,15,0,0,0,500,500,500,1,1,1,1,1,SpawnEnemy,-1,0
EventWall,None,1,1,25,0,30,0,90,0,500,500,500,1,1,1,1,1,SpawnEnemy,-1,1
EventWall,None,1,0,15,0,30,0,90,0,500,500,500,1,1,1,1,1,DefeatEnemy,0,-1
EventWall,None,1,0,45,0,20,0,90,0,500,500,500,1,1,1,1,1,DefeatEnemy,1,-1
Wall,None,1,0,65,0,30,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,75,0,40,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,70,0,35,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,70,0,5,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,80,0,5,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,90,0,35,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,90,0,5,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,30,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,85,0,40,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,20,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,10,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,65,0,10,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
EventWall,None,1,1,65,0,20,0,90,0,500,500,500,1,1,1,1,1,SpawnEnemy,-1,2
EventWall,None,1,0,80,0,35,0,0,0,500,500,500,1,1,1,1,1,DefeatEnemy,2,-1
EnemySpawn,EnemyWeak,0,0,-5.443083,0,30.18015,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,0,-1
EnemySpawn,EnemyWeak,0,0,7.206159,0,28.06533,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,0,-1
EnemySpawn,EnemyWeak,0,0,2.150093,0,35.44856,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,0,-1
EnemySpawn,EnemyWeak,0,0,37.51982,0,27.58938,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,1,-1
EnemySpawn,EnemyWeak,0,0,31.95314,0,21.34946,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,1,-1
EnemySpawn,EnemyWeak,0,0,83.69148,0,23.67149,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,2,-1
EnemySpawn,EnemyWeak,0,0,83.71,0,16.94,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,2,-1
EnemySpawn,EnemyWeak,0,0,76.49,0,13.88,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,2,-1
EnemySpawn,EnemyWeak,0,0,75.78,0,26.44,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,2,-1
Wall,None,1,0,75,0,50,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,75,0,60,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,85,0,70,0,270,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,80,0,65,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,90,0,45,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,60,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,70,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,95,0,50,0,90,0,500,500,500,1,1,1,1,1,None,-1,-1
EventWall,None,1,1,80,0,45,0,0,0,500,500,500,1,1,1,1,1,SpawnEnemy,-1,3
EventWall,None,1,0,90,0,65,0,0,0,500,500,500,1,1,1,1,1,DefeatEnemy,3,-1
EnemySpawn,EnemyWeak,0,0,79.63975,0,59.66619,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,3,-1
EnemySpawn,EnemyWeak,0,0,86.66,0,50.27,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,3,-1
EnemySpawn,EnemyWeak,0,0,86.27,0,58.52,0,0,0,1,1,1,1,1,1,1,1,SpawnEnemy,3,-1
Wall,None,1,0,80,0,75,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,70,0,75,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,60,0,75,0,180,0,500,500,500,1,1,1,1,1,None,-1,-1
Wall,None,1,0,60,0,95,0,0,0,500,500,500,1,1,1,1,1,None,-1,-1
